T       Cp      S       -(G-H(Tr))/T    H-H_Tr  Delta_H Delta_G Log_Kf
K       J/molK  J/molK  J/molK          kJ/mol  kJ/mol  kJ/mol  n/a
0       0       0       NaN             -8.683  0       0       0
100     29.106  173.307 231.094         -5.779  0       0       0
200     29.126  193.485 207.823         -2.868  0       0       0
250     29.201  199.990 205.630         -1.410  0       0       0
298.15  29.376  205.147 205.147         0       0       0       0
300     29.385  205.329 205.148         0.054   0       0       0
350     29.694  209.880 205.506         1.531   0       0       0
400     30.106  213.871 206.308         3.025   0       0       0
450     30.584  217.445 207.350         4.543   0       0       0
500     31.091  220.693 208.524         6.084   0       0       0
600     32.090  226.451 211.044         9.244   0       0       0
700     32.981  231.466 213.611         12.499  0       0       0
800     33.733  235.921 216.126         15.835  0       0       0
900     34.355  239.931 218.552         19.241  0       0       0
1000    34.870  243.578 220.875         22.703  0       0       0
1100    35.300  246.922 223.093         26.212  0       0       0
1200    35.667  250.010 225.209         29.761  0       0       0
1300    35.988  252.878 227.229         33.344  0       0       0
1400    36.277  255.556 229.158         36.957  0       0       0
1500    36.544  258.068 231.002         40.599  0       0       0
1600    36.796  260.434 232.768         44.266  0       0       0
1700    37.040  262.672 234.462         47.958  0       0       0
1800    37.277  264.796 236.089         51.673  0       0       0
1900    37.510  266.818 237.653         55.413  0       0       0
2000    37.741  268.748 239.160         59.175  0       0       0
