T       Cp      S       -(G-H(Tr))/T    H-H_Tr   Delta_H        Delta_G Log_Kf
K       J/molK  J/molK  J/molK          kJ/mol   kJ/mol         kJ/mol  n/a
0       0       0       0              -9.124    128.300        128.300 0
100     29.367  195.067 255.684         -06.062  129.983        112.980 -59.015
200     030.452 215.621 231.072         -3.090   129.670        96.001  -25.073
250     031.513 222.529 228.695         -1.541   129.180        87.637  -18.311
298.15  032.490 228.165 228.165         0        128.600        79.687  -13.961
300     032.525 228.366 228.166         0.060    128.576        79.384  -13.822
350     033.387 233.447 228.565         1.709    127.892        71.238  -10.632
400     034.090 237.953 229.462         03.396   112.718        63.371  -8.275
450     034.656 242.002 230.634         05.115   120.586        56.063  -6.508
500     035.111 245.678 231.958         06.860   118.326        49.019  -5.121
600     035.781 252.142 234.798         10.407   114.703        35.511  -3.092
700     036.260 257.695 237.681         14.009   111.612        22.562  -1.684
800     036.637 262.562 240.493         17.655   108.835        10.033  -0.655
900     036.966 266.896 243.191         021.335  0               0       0
1000    037.277 270.807 245.760         025.047  0               0       0
1100    037.584 274.374 248.201         028.790  0               0       0
1200    037.894 277.658 250.521         032.564  0               0       0
1300    038.205 280.703 252.727         036.369  0               0       0
1400    038.514 283.546 254.828         040.205  0               0       0
1500    038.818 286.213 256.832         044.072  0               0       0
1600    039.112 288.728 258.748         047.968  0               0       0
1700    039.394 291.108 260.582         051.894  0               0       0
1800    039.661 293.367 262.341         055.847  0               0       0
1900    39.911  295.518 264.031         059.825  0               0       0
2000    40.144  297.571 265.657         063.828  0               0       0
2100    40.352  299.535 267.224         067.853  0               0       0

